edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ns
823,9.451445501902953e-05,9.451443261033531e-05,2.240869422074169e-11,0.02240869422074169
824,9.454302844326674e-05,9.454300281449838e-05,2.5628768357545982e-11,0.025628768357545982
825,9.457160202355687e-05,9.457157301866145e-05,2.9004895426428555e-11,0.029004895426428555
826,9.460017574053891e-05,9.460014322282452e-05,3.2517714395514465e-11,0.032517714395514465
827,9.462874959676856e-05,9.462871342698759e-05,3.616978097326975e-11,0.03616978097326975
828,9.465732354467271e-05,9.465728363115064e-05,3.9913522075984163e-11,0.03991352207598416
829,9.468589759975618e-05,9.468585383531371e-05,4.376444247235061e-11,0.04376444247235061
830,9.471447174934287e-05,9.471442403947678e-05,4.770986609069673e-11,0.04770986609069673
831,9.474304596549891e-05,9.474299424363983e-05,5.1721859085464686e-11,0.051721859085464686
832,9.477162026679493e-05,9.47715644478029e-05,5.581899203738304e-11,0.05581899203738304
833,9.480019460282085e-05,9.480013465196597e-05,5.995085488512691e-11,0.059950854885126914
834,9.482876901127292e-05,9.482870485612902e-05,6.415514390166575e-11,0.06415514390166575
835,9.4857343451126e-05,9.485727506029209e-05,6.839083390678477e-11,0.06839083390678477
836,9.488591793659667e-05,9.488584526445516e-05,7.267214151502321e-11,0.07267214151502321
837,9.49144924588622e-05,9.491441546861823e-05,7.699024397699235e-11,0.07699024397699236
838,9.494306700171871e-05,9.49429856727813e-05,8.132893741688597e-11,0.08132893741688597
839,9.497164158176307e-05,9.497155587694435e-05,8.570481872024529e-11,0.0857048187202453
840,9.50002161450494e-05,9.500012608110742e-05,9.006394198496295e-11,0.09006394198496295
841,9.50287770097875e-05,9.502869628527049e-05,8.0724517013185e-11,0.080724517013185
842,9.505733834002982e-05,9.505726648943354e-05,7.185059627704277e-11,0.07185059627704277
843,9.50859019512837e-05,9.508583669359661e-05,6.525768708862233e-11,0.06525768708862233
844,9.511446721948453e-05,9.511440689775968e-05,6.032172485939789e-11,0.06032172485939789
845,9.514303379129976e-05,9.514297710192275e-05,5.668937701891931e-11,0.05668937701891931
846,9.517160142937222e-05,9.517154730608582e-05,5.41232864090613e-11,0.0541232864090613
847,9.520016994305282e-05,9.520011751024887e-05,5.243280395181056e-11,0.05243280395181056
848,9.522873918967299e-05,9.522868771441194e-05,5.147526105538288e-11,0.05147526105538288
849,9.52573090842737e-05,9.5257257918575e-05,5.116569870241792e-11,0.05116569870241792
850,9.528587952998852e-05,9.528582812273806e-05,5.140725046256569e-11,0.05140725046256569
